JFK$October$2003$28$11$755$6124$5335$New York, NY: John F. Kennedy International
LAS$October$2003$135$12$1841$12587$10594$Las Vegas, NV: McCarran International
LAX$October$2003$581$13$2463$18973$15851$Los Angeles, CA: Los Angeles International
LGA$October$2003$124$11$1375$9319$7814$New York, NY: LaGuardia
MCO$October$2003$17$13$816$7824$6985$Orlando, FL: Orlando International
MDW$October$2003$45$9$869$7665$6748$Chicago, IL: Chicago Midway International
MIA$October$2003$34$12$603$4948$4297$Miami, FL: Miami International
MSP$October$2003$53$11$1412$12098$10626$Minneapolis, MN: Minneapolis-St Paul International
ORD$October$2003$324$13$4564$30990$26086$Chicago, IL: Chicago O'Hare International
PDX$October$2003$45$9$656$4749$4045$Portland, OR: Portland International
PHL$October$2003$80$13$1475$9239$7675$Philadelphia, PA: Philadelphia International
PHX$October$2003$187$12$1577$14255$12481$Phoenix, AZ: Phoenix Sky Harbor International
SAN$October$2003$189$12$892$7206$6043$San Diego, CA: San Diego International
SEA$October$2003$113$12$1707$8921$7087$Seattle, WA: Seattle/Tacoma International
SFO$October$2003$102$11$1456$10372$8804$San Francisco, CA: San Francisco International
SLC$October$2003$61$11$907$10641$9670$Salt Lake City, UT: Salt Lake City International
TPA$October$2003$9$11$596$5545$4940$Tampa, FL: Tampa International
ATL$November$2003$263$11$4609$30113$25220$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$November$2003$156$14$1168$9250$7920$Boston, MA: Logan International
BWI$November$2003$40$11$1102$8064$6905$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$November$2003$77$11$927$8696$7689$Charlotte, NC: Charlotte Douglas International
DCA$November$2003$91$14$929$6537$5495$Washington, DC: Ronald Reagan Washington National
DEN$November$2003$102$14$1990$11839$9742$Denver, CO: Denver International
DFW$November$2003$373$13$3662$27905$23809$Dallas/Fort Worth, TX: Dallas/Fort Worth International
DTW$November$2003$114$12$1460$11374$9791$Detroit, MI: Detroit Metro Wayne County
EWR$November$2003$307$13$3274$12417$8796$Newark, NJ: Newark Liberty International
FLL$November$2003$9$11$756$5086$4319$Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
IAD$November$2003$136$13$1229$8200$6776$Washington, DC: Washington Dulles International
IAH$November$2003$157$11$2674$15622$12697$Houston, TX: George Bush Intercontinental/Houston
